gid,nombre,barrio,direccion,lng,lat
1,SAP XXI - Cañada Quiroz,Cañada Quiroz,R.P.Nº 3 Km,-58.736255042257689,-27.542961455066727
2,SAP XII - Bº Esperanza,Esperanza,"114 Viviendas - Mz B - Calle 2, entre 4 y 5",-58.785420303322532,-27.543994819347013
5,SAPS XXVII - Dr. Juan Carlos Benitez Suarez,Lomas,Bº Flier - Mza 17 casa 2,-58.767649680949773,-27.484462855726246
6,SAP I - Dr. G. Rawson,San Geronimo,Av. Pdte. Dr. Raul Alfonsin y Av. Laprida Narciso,-58.78834048757713,-27.476504044594702
8,SAP XV - Dr. Semper,Victor Colas,Argerich y Calle Nº 41,-58.782543139757351,-27.459625891071813
9,SAP XIV - Dr. M. Gonzales,Lomas del Mirador,Sicilia y Linares,-58.79079165358565,-27.457085512409058
11,SAP VI - Bº Pujol,Pujol,Av. Armenia y Yerbal,-58.805936306949164,-27.467461559790138
13,SAP IV - Bº Itatí,Itatí,Amado Bompland Nº 100,-58.809300890403726,-27.462763540766659
15,SAP II - Villa García,Villa García,Pje. Paris Nº 4000,-58.802544839367926,-27.47804820099385
16,SAP XI - Bº Villa Chiquita,Villa Chiquita,Pirovano Nº 1988,-58.806062429824479,-27.484142158676658
17,SAP XXXVII - Bº Guemes,Guemes,Gascon entre Las Heras y Lamadrid,-58.796761839745336,-27.486207074211148
18,SAP VII - Bº San Marcos,San Marcos,Roque Perez S/N,-58.822715001881875,-27.488906571047515
19,SAP XIX - Bº Primera Junta,Primera Junta,Ntra. Sra. de la Asuncion y Ex. Vias,-58.818363193983714,-27.490721565787251
20,SAP X - Dr. Korimblum,Ongay,Guemes y Berazategui,-58.810550459970273,-27.496324944630242
21,SAP XX - Dr. A. Malvido,Pirayui,Suecia S/N,-58.782502293129589,-27.504645441925589
22,SAP XXVI - Dr. Santiago Lorenzo,Nuevo,Ramos Mejia y Tupac Amaru,-58.792643667816094,-27.500552932325199
23,SAP XXV - Dr. Lifchitz,San Antonio Este,Roldan Belizario y Calle N° 482,-58.805289730120514,-27.50794630948138
24,SAP IX - Dr. M. Casusso,San Antonio,Avenida Alta Gracia y Los Tobas,-58.813192474002179,-27.507874019212625
26,SAP VIII - Dr. Rossi Candia,Independencia,Dr. L.F. Leloir y Calle Nº 459,-58.829978875830548,-27.503526255773966
27,SAPS XXIX - Bº Santa Marta,3 de Abril,Av. Jose Vidal S/N,-58.841853862899562,-27.502504268774292
29,SAP XXXIII - Dr. Blugerman,Virgen de los Dolores,"Monte de Oca S/N, casi Gutnisky",-58.852204690096862,-27.488840487812972
30,SAPS XXXIV - Galván,Galvan,Av. Alberdi y Pizarro,-58.846862264952975,-27.485749758948426
31,SAP XXXIII - Dr. Sussini,Pedro Ferré,3 de Abril y Chaco,-58.847612665007894,-27.473965968002222
34,SAP XIII - Bº Santa Margarita,Santa Margarita,Barrio Santa Margarita (frente entrada a puente pexoa),-58.761219918923778,-27.536369352762456
35,SAPS XVIII - Bº Sapucay,Barrio Sapucay,Barrio Sapucay - Calle N° 564 y Calle N° 563,-58.739014963648266,-27.490378430890555
37,SAPS XVI - Paso Martinez,Paso Martinez,Barrio Paso Martinez,-58.658200295877052,-27.516467854227507
32,SAP XXXVI- Centro de Vacunación,Deportes,Av. Costanera Gral San Martin y Salta,-58.838434679526571,-27.461397798693017
12,SAP V - Bº Quinta Ferre,Quinta Ferré,Zacarias Sanches Nº 300,-58.806774045806549,-27.463061459406362
25,SAP XXXI - Bº Río Parana,Rio Paraná,Mocoretá S/N,-58.828747279677316,-27.515234882889899
28,SAP XXX - Dr. Calmanash,Quilmes,Ortiz de Zarate Nº 3400,-58.847150956989076,-27.494438682896796
10,SAP III - Bº Anahí,Anahi,Cristo Obrero Nº 310,-58.798351117101703,-27.464115630154176
4,SAP XXVIII - Dr. De Los Reyes Vidal,Santa Rita,BArrio Santa Rita - Calle perez Rueda S/N,-58.764228924933875,-27.492547494916685
3,SAP XVII - Bº Parque Cadenas Norte,Parque Cadenas,Ruta 5 - Parque Cadenas Norte S/N,-58.751159993461073,-27.490823421965771
38,SAPS SANTA CATALINA,SANTA CATALINA,ABELARDO HECTOR DIMOTTA Y RAMON SIXTO RIOS,-58.804072873611858,-27.526154111179256
33,SAPS XXIV- Mauricio Open,Paraje Perichon (Aeropuerto),Ruta 12 Km 8  (Control Policial),-58.749691605369271,-27.447224516839626
7,SAP XXIII - Dr. Chercoff,Yecoha,Ruta 12 - Km 10,-58.717086362119552,-27.429394557725967
14,SAP XXXV - Bº Cichero,Chichero,Spano entre Velez Sarsfield y Sgto. Del Estero,-58.818002174335611,-27.458175495887396
