gid,nombre_barrio,path
1,As. Detrás Del Inta,"{""type"":""MultiPolygon"",""coordinates"":[[[[-58.760251885371,-27.492879701973],[-58.7590350458513,-27.4930595873442],[-58.7595367795724,-27.4952607135603],[-58.7592376728999,-27.4954076844078],[-58.7591589928845,-27.4956816364021],[-58.7588919587572,-27.4957167593661],[-58.7588727707421,-27.4962202521914],[-58.7597991371268,-27.4959244036864],[-58.7608590559799,-27.4959225897271],[-58.7609286178711,-27.4956649482246],[-58.7619368296404,-27.4953492179437],[-58.7619296858242,-27.4950892855924],[-58.7630261834059,-27.4949129541564],[-58.7625790917029,-27.4925817478245],[-58.761519275109,-27.4926795644184],[-58.7612630687771,-27.4914356331957],[-58.7608316790391,-27.4914916331957],[-58.760251885371,-27.492879701973]]]]}"
5,Los Astilleros,"{""type"":""MultiPolygon"",""coordinates"":[[[[-58.8541255458905,-27.4911770981114],[-58.8540797056896,-27.4903238654969],[-58.8529306777033,-27.4905333865938],[-58.8528064847607,-27.4905849606032],[-58.8515745031608,-27.4908359019046],[-58.8515200981033,-27.491398509491],[-58.8541255458905,-27.4911770981114]]]]}"
8,As. Patono 2,"{""type"":""MultiPolygon"",""coordinates"":[[[[-58.8435095479309,-27.5007839212156],[-58.8435450252036,-27.5013337432218],[-58.8439003579596,-27.5014836917005],[-58.8439633183633,-27.501484386483],[-58.845056086282,-27.5022173407928],[-58.8458797663229,-27.5014618163078],[-58.8468767054087,-27.5009334091173],[-58.8473471200632,-27.500503302586],[-58.8474936125329,-27.5002183807019],[-58.8457260583117,-27.499896335553],[-58.8446574946095,-27.4984983724095],[-58.8445539999999,-27.498525000008],[-58.844620675705,-27.4992331824954],[-58.8447023641274,-27.4999323026986],[-58.8447161060607,-27.5002098945968],[-58.8447951258756,-27.5002968714246],[-58.8448124772725,-27.5004707327045],[-58.8442093712117,-27.5007566247815],[-58.8435095479309,-27.5007839212156]]]]}"
10,Las Del Monte,"{""type"":""MultiPolygon"",""coordinates"":[[[[-58.8463143983461,-27.4966301961929],[-58.8459563032522,-27.494112466026],[-58.8457317694575,-27.4925331639261],[-58.8439362047913,-27.4928139587387],[-58.84407629179,-27.493723283659],[-58.8443052566458,-27.4955382467189],[-58.8447672300621,-27.497421444299],[-58.844640026197,-27.4984237538273],[-58.8457021508905,-27.4997319816257],[-58.8461325889998,-27.4998691253139],[-58.846895127164,-27.4995846284417],[-58.8466070895886,-27.4982993384503],[-58.8454552347221,-27.4982162900059],[-58.8452947632258,-27.497183221412],[-58.8457485567635,-27.4967842126542],[-58.8463143983461,-27.4966301961929]]]]}"
11,Asentamiento Del Barrio Seminario A,"{""type"":""MultiPolygon"",""coordinates"":[[[[-58.8119315193089,-27.4613207485474],[-58.8120204036646,-27.4616455408259],[-58.8122043451539,-27.4615780589411],[-58.8121441518019,-27.461058948759],[-58.8120586879576,-27.4607605980683],[-58.8118434305439,-27.460824379486],[-58.8118989974906,-27.4610514965993],[-58.8118380298673,-27.4610980417707],[-58.8111248896317,-27.4612190237118],[-58.8110233853228,-27.4612332172475],[-58.8108984866756,-27.4612343341064],[-58.8101024066894,-27.4612437247007],[-58.8101065867706,-27.461372383294],[-58.8101279095956,-27.461462963783],[-58.8119315193089,-27.4613207485474]]]]}"
2,Tutuca,"{""type"":""MultiPolygon"",""coordinates"":[[[[-58.7750729999998,-27.504519000008],[-58.7752284378639,-27.5035943849594],[-58.774520729126,-27.5033534786487],[-58.7741451873784,-27.5041834582604],[-58.7750729999998,-27.504519000008]]]]}"
12,Asentamiento Del Barrio Itati,"{""type"":""MultiPolygon"",""coordinates"":[[[[-58.8100805891388,-27.4615203016983],[-58.8100149159696,-27.4611633823009],[-58.8097619999999,-27.4611704098539],[-58.8097245088788,-27.4610953235983],[-58.8095610327615,-27.461096001825],[-58.8095001889012,-27.461040049055],[-58.8088745179567,-27.4610709552578],[-58.8088079999999,-27.461574000008],[-58.808893374244,-27.4618555432115],[-58.8089582131923,-27.4618959082584],[-58.8098929080386,-27.4619591151746],[-58.8101193132002,-27.4619483612188],[-58.8100313842705,-27.4615464126891],[-58.8100805891388,-27.4615203016983]]]]}"
3,As. Del B. Sapucay,"{""type"":""MultiPolygon"",""coordinates"":[[[[-58.7391759108526,-27.4913534219265],[-58.739058047143,-27.4903988585782],[-58.7379911765208,-27.4905584192136],[-58.7378575709137,-27.4899334586479],[-58.7377858015779,-27.4896011214777],[-58.7371098810313,-27.4896734465999],[-58.7372245282974,-27.4906152311559],[-58.7376279533359,-27.4905986045045],[-58.7378206494262,-27.4915409028647],[-58.7381124905656,-27.4914876803425],[-58.7382646065305,-27.4914207347505],[-58.7391759108526,-27.4913534219265]]]]}"
42,Bajo Galvan,"{""type"":""MultiPolygon"",""coordinates"":[[[[-58.8545399674756,-27.4838419679692],[-58.8544016736052,-27.4833466060443],[-58.8543760332988,-27.4830340216957],[-58.8543076745723,-27.4828427452983],[-58.8542520966017,-27.4824869786487],[-58.8528080213591,-27.4827005160274],[-58.8527746734203,-27.4828970500986],[-58.8528269677444,-27.4829986656374],[-58.8530575800969,-27.483184161173],[-58.8532453975727,-27.483438903406],[-58.8535923868931,-27.484045634474],[-58.8545399674756,-27.4838419679692]]]]}"
16,As. 2 Del B. Ponce,"{""type"":""MultiPolygon"",""coordinates"":[[[[-58.7673447438669,-27.4887641123531],[-58.767563147374,-27.4903797731268],[-58.7691518982371,-27.4902023293993],[-58.7688924947299,-27.4885416686257],[-58.7673447438669,-27.4887641123531]]]]}"
18,Río Paraná,"{""type"":""MultiPolygon"",""coordinates"":[[[[-58.8363595985501,-27.5118681130261],[-58.8317946142576,-27.5100527165806],[-58.8309015728839,-27.509988968543],[-58.8308485728839,-27.5106015986582],[-58.8291562749998,-27.510479430008],[-58.8290859999999,-27.511764000008],[-58.8284209357095,-27.511703292176],[-58.8280439999999,-27.512939000008],[-58.8277269999999,-27.514084000008],[-58.8204648126008,-27.5141000825607],[-58.8204259999999,-27.514106000008],[-58.8205143271808,-27.5152237336305],[-58.8228142628904,-27.5154486809604],[-58.8243939999999,-27.516789000008],[-58.8273403742837,-27.5160082661482],[-58.8318919999999,-27.5163730523699],[-58.8323293157225,-27.5165904394342],[-58.8326339357095,-27.5169423584938],[-58.8332514328449,-27.5170408382227],[-58.8336822338865,-27.5158102018928],[-58.8342062399737,-27.514221000008],[-58.8343740957033,-27.5133320386502],[-58.8356491885676,-27.5134954924685],[-58.8363595985501,-27.5118681130261]]]]}"
54,Punta Taitalo,"{""type"":""MultiPolygon"",""coordinates"":[[[[-58.7713834258649,-27.4402884971784],[-58.7713382846774,-27.4402356489589],[-58.7711012173492,-27.4401501492668],[-58.770964886668,-27.4402310956087],[-58.7708376635772,-27.4403240269599],[-58.770646977425,-27.4403103991126],[-58.7691291908632,-27.4401878340637],[-58.7694031677721,-27.4388723500668],[-58.7692240033778,-27.438391312715],[-58.7693073620197,-27.4377774936824],[-58.7697143126097,-27.4375645381799],[-58.7701280852966,-27.4370599462799],[-58.7702463493869,-27.4365257755497],[-58.7711475564817,-27.4363190901894],[-58.7733856108897,-27.43352181166],[-58.7720382410463,-27.4327603095983],[-58.774236858077,-27.4298416302622],[-58.7744334256898,-27.4295998203736],[-58.7752609999998,-27.429985000008],[-58.7759479999999,-27.430385000008],[-58.7770849999998,-27.430975000008],[-58.7785867992196,-27.4317159789762],[-58.7787241772922,-27.4317482855824],[-58.7791700925828,-27.4318490147664],[-58.7794023475995,-27.4325509287424],[-58.7794405816609,-27.4329996904071],[-58.7801319999999,-27.434251000008],[-58.7804329999998,-27.436251000008],[-58.7799929999998,-27.437074000008],[-58.7796599999998,-27.437829000008],[-58.7801859999998,-27.438006000008],[-58.7800378227074,-27.4383660142258],[-58.7813303531349,-27.4387361866024],[-58.7806615323016,-27.4406633099951],[-58.7797720609424,-27.4404548781228],[-58.7790379999998,-27.443278000008],[-58.7789904113536,-27.4434949681651],[-58.7785248227074,-27.4434096580788],[-58.778195113538,-27.4434672087532],[-58.777035588646,-27.4448787263958],[-58.7764816807847,-27.4447696048523],[-58.7767164765051,-27.4443149420127],[-58.7766423294656,-27.4441981013341],[-58.7770206579315,-27.4412284683488],[-58.7752227518114,-27.4409777423937],[-58.7715578484285,-27.4403641301935],[-58.7713834258649,-27.4402884971784]]]]}"
17,Asentamiento Del Barrio Ponce,"{""type"":""MultiPolygon"",""coordinates"":[[[[-58.7697490912619,-27.4944164543769],[-58.768706060194,-27.4945480301051],[-58.7688082281745,-27.4953662583405],[-58.7698914355175,-27.4951973271109],[-58.7697490912619,-27.4944164543769]]]]}"
9,As. Del B. Virgen De Los Dolores,"{""type"":""MultiPolygon"",""coordinates"":[[[[-58.854819904542,-27.4889181935313],[-58.8544280660393,-27.4889865917044],[-58.8533119999999,-27.4891703162253],[-58.8516447732874,-27.4893997295579],[-58.8515890960199,-27.4907561746293],[-58.8543605202593,-27.4902043198501],[-58.8544270680295,-27.4902389547004],[-58.8547240926722,-27.4902137833843],[-58.8547841658197,-27.4901129986323],[-58.855367342546,-27.4895054061216],[-58.8557974624994,-27.4888042326276],[-58.8556627803826,-27.4887419374284],[-58.8559707665722,-27.4882018692746],[-58.8561267254325,-27.4879682394956],[-58.8561429498647,-27.4877326198711],[-58.8551187112201,-27.4879945825694],[-58.854819904542,-27.4889181935313]]]]}"
