saps,fecha,servicio,turno,consulta_cantidad,rango_etario,sexo,detalle
DR. BENJAMIN SERRANO,2020-02-01,ODONTOLOGIA,TARDE,5,1 - 4 ANIOS,F,CONSULTAS FICHADAS Y MOTIVACION (ninios hasta 14 anios)
DR. BENJAMIN SERRANO,2020-02-01,ODONTOLOGIA,TARDE,8,1 - 4 ANIOS,M,CONSULTAS FICHADAS Y MOTIVACION (ninios hasta 14 anios)
DR. BENJAMIN SERRANO,2020-02-01,ODONTOLOGIA,TARDE,15,5 - 14 ANIOS,F,CONSULTAS FICHADAS Y MOTIVACION (ninios hasta 14 anios)
DR. BENJAMIN SERRANO,2020-02-01,ODONTOLOGIA,TARDE,14,5 - 14 ANIOS,M,CONSULTAS FICHADAS Y MOTIVACION (ninios hasta 14 anios)
DR. BENJAMIN SERRANO,2020-02-01,ODONTOLOGIA,TARDE,1,15 - 19 ANIOS,F,CONSULTA-ADULTO (Desde 15 anios)
DR. BENJAMIN SERRANO,2020-02-01,ODONTOLOGIA,TARDE,2,15 - 19 ANIOS,M,CONSULTA-ADULTO (Desde 15 anios)
DR. BENJAMIN SERRANO,2020-02-01,ODONTOLOGIA,TARDE,18,20-39 ANIOS,F,CONSULTA-ADULTO (Desde 15 anios)
DR. BENJAMIN SERRANO,2020-02-01,ODONTOLOGIA,TARDE,10,20-39 ANIOS,M,CONSULTA-ADULTO (Desde 15 anios)
DR. BENJAMIN SERRANO,2020-02-01,ODONTOLOGIA,TARDE,10,40-69 ANIOS,F,CONSULTA-ADULTO (Desde 15 anios)
DR. BENJAMIN SERRANO,2020-02-01,ODONTOLOGIA,TARDE,8,40-69 ANIOS,M,CONSULTA-ADULTO (Desde 15 anios)
DR. BENJAMIN SERRANO,2020-02-01,ODONTOLOGIA,TARDE,1,>=70 ANIOS,F,CONSULTA-ADULTO (Desde 15 anios)
DR. BENJAMIN SERRANO,2020-02-01,ODONTOLOGIA,TARDE,6,5 - 14 ANIOS,F,FOTOCURADO ANTERIORES Y PosTERIORES
DR. BENJAMIN SERRANO,2020-02-01,ODONTOLOGIA,TARDE,3,5 - 14 ANIOS,M,FOTOCURADO ANTERIORES Y PosTERIORES
DR. BENJAMIN SERRANO,2020-02-01,ODONTOLOGIA,TARDE,1,15 - 19 ANIOS,M,FOTOCURADO ANTERIORES Y PosTERIORES
DR. BENJAMIN SERRANO,2020-02-01,ODONTOLOGIA,TARDE,5,20-39 ANIOS,F,FOTOCURADO ANTERIORES Y PosTERIORES
DR. BENJAMIN SERRANO,2020-02-01,ODONTOLOGIA,TARDE,3,20-39 ANIOS,M,FOTOCURADO ANTERIORES Y PosTERIORES
DR. BENJAMIN SERRANO,2020-02-01,ODONTOLOGIA,TARDE,2,5 - 14 ANIOS,M,TARTREC Y CEPILLADO MECAniCO
DR. BENJAMIN SERRANO,2020-02-01,ODONTOLOGIA,TARDE,2,20-39 ANIOS,F,TARTREC Y CEPILLADO MECAniCO
DR. BENJAMIN SERRANO,2020-02-01,ODONTOLOGIA,TARDE,1,20-39 ANIOS,M,TARTREC Y CEPILLADO MECAniCO
DR. BENJAMIN SERRANO,2020-02-01,ODONTOLOGIA,TARDE,1,1 - 4 ANIOS,F,APLICACION DE FLUOR
DR. BENJAMIN SERRANO,2020-02-01,ODONTOLOGIA,TARDE,2,1 - 4 ANIOS,M,APLICACION DE FLUOR
DR. BENJAMIN SERRANO,2020-02-01,ODONTOLOGIA,TARDE,13,5 - 14 ANIOS,F,APLICACION DE FLUOR
DR. BENJAMIN SERRANO,2020-02-01,ODONTOLOGIA,TARDE,9,5 - 14 ANIOS,M,APLICACION DE FLUOR
DR. BENJAMIN SERRANO,2020-02-01,ODONTOLOGIA,TARDE,1,5 - 14 ANIOS,F,INACTIVACION DE CARIES
DR. BENJAMIN SERRANO,2020-02-01,ODONTOLOGIA,TARDE,1,< 1 ANIO,F,"DETENCION, CONTROL PLACA BACTERIANA Y ENS"
