"gid","varon","mujer","total_poblacion","hogares","viviendas_particulares","superficie","densidad_poblacion","zona"
1,536,680,1216,454,410,12.96,94,"{""type"":""Polygon"",""coordinates"":[[[-58.8438409493679,-27.4620647989804],[-58.8437695685192,-27.4620296575113],[-58.8436592427718,-27.4620852485494],[-58.8434562625287,-27.4620428277522],[-58.8430890978192,-27.4618582331456],[-58.8428740562624,-27.4616986891958],[-58.8425240108164,-27.4616311483803],[-58.8423833503823,-27.4616871398415],[-58.8422495016695,-27.4615445638673],[-58.8421266645629,-27.4614559722033],[-58.8419126747823,-27.4613595646014],[-58.8416395160929,-27.4613541562003],[-58.8413969915276,-27.4613663855111],[-58.8412313519655,-27.4614407495522],[-58.8411602720595,-27.4614236461029],[-58.8413256118408,-27.4613312427248],[-58.8414363878855,-27.4613027126394],[-58.8414760840318,-27.4612570791773],[-58.8413736205826,-27.4611772390486],[-58.8412907805088,-27.4610610525635],[-58.8412532170721,-27.4609307347541],[-58.8411395934954,-27.4607878901566],[-58.8410467924758,-27.4606808569086],[-58.8409548908551,-27.4606279418664],[-58.8408244920112,-27.4606928177596],[-58.8407865940566,-27.4608466876062],[-58.8407898160069,-27.4610406114448],[-58.8407110226491,-27.4611679568446],[-58.8404589861931,-27.4612163970377],[-58.8403178756341,-27.4612453272941],[-58.8400448669109,-27.4612489354619],[-58.8398389305237,-27.4613328520997],[-58.83958599464,-27.4613271724356],[-58.8393932781866,-27.4612936316896],[-58.839160714981,-27.4612967038089],[-58.8390085941588,-27.4612716479898],[-58.8389764632787,-27.4611638119718],[-58.8388644889921,-27.4611201823407],[-58.8387404163517,-27.4612616572437],[-58.8388035891315,-27.4617164188125],[-58.8388781406757,-27.4628566791038],[-58.8389574508662,-27.4639788328857],[-58.8402299500694,-27.4638672916249],[-58.8414317393709,-27.4637611848885],[-58.8427950118863,-27.4636348871977],[-58.8440066812672,-27.4635150950872],[-58.8439096231059,-27.4628487760101],[-58.8438409493679,-27.4620647989804]]]}"
2,371,472,843,312,330,22.87,37,"{""type"":""Polygon"",""coordinates"":[[[-58.8387404163517,-27.4612616572437],[-58.8383767784927,-27.4612890132082],[-58.8381442151638,-27.4612920836297],[-58.8378798212084,-27.4612053567959],[-58.8377975831122,-27.4611252469662],[-58.8376157268426,-27.461136668897],[-58.8374131988851,-27.4611212982715],[-58.8372509671468,-27.4610963739333],[-58.8373091677704,-27.4609467478244],[-58.8372875987663,-27.4608658370938],[-58.836786335936,-27.4608273420171],[-58.8363601614673,-27.4607427462844],[-58.8357320583571,-27.4606788550433],[-58.8350669225876,-27.4605162101802],[-58.8348484072557,-27.4604514270474],[-58.8348910650307,-27.4611951561492],[-58.8349222443182,-27.4615511028522],[-58.8349769335449,-27.4621052173148],[-58.8350957534495,-27.4631727238674],[-58.8352319852853,-27.464375326176],[-58.8353459049409,-27.4654519183278],[-58.8354606494823,-27.4665781186525],[-58.836652438006,-27.4664766947431],[-58.8379556792814,-27.4663873218893],[-58.8390816599316,-27.4662822352395],[-58.8389970648884,-27.4651466192314],[-58.8389574508662,-27.4639788328857],[-58.8388781406757,-27.4628566791038],[-58.8388035891315,-27.4617164188125],[-58.8387404163517,-27.4612616572437]]]}"
3,499,660,1159,403,434,13.06,89,"{""type"":""Polygon"",""coordinates"":[[[-58.8440066812672,-27.4635150950872],[-58.8427950118863,-27.4636348871977],[-58.8414317393709,-27.4637611848885],[-58.8402299500694,-27.4638672916249],[-58.8389574508662,-27.4639788328857],[-58.8389970648884,-27.4651466192314],[-58.8390816599316,-27.4662822352395],[-58.840440435994,-27.4661875947756],[-58.8415716918907,-27.4660959509077],[-58.8428743216465,-27.465970453608],[-58.8441120466821,-27.4658954231898],[-58.8441227865398,-27.4647179517155],[-58.8440066812672,-27.4635150950872]]]}"
4,365,450,815,294,337,16.95,48,"{""type"":""Polygon"",""coordinates"":[[[-58.8438409493679,-27.4620647989804],[-58.8439096231059,-27.4628487760101],[-58.8440066812672,-27.4635150950872],[-58.8441227865398,-27.4647179517155],[-58.8441120466821,-27.4658954231898],[-58.8441913387267,-27.4670130609641],[-58.8454588835592,-27.466906047295],[-58.8455536591236,-27.4680415217192],[-58.8468163831713,-27.4679480917243],[-58.8474931352942,-27.4678940038392],[-58.8481144211049,-27.4678496707003],[-58.8480543048852,-27.4672775929905],[-58.8479892840058,-27.4667146019624],[-58.8478745629019,-27.4655974379392],[-58.8478616675451,-27.4654307082301],[-58.8478207406003,-27.4644929978306],[-58.8476681626469,-27.46444089278],[-58.8474021000828,-27.4642549683857],[-58.847209677585,-27.4642394781975],[-58.8467978994885,-27.4641096158757],[-58.8464930463033,-27.4640234426126],[-58.8462788977126,-27.4639180225085],[-58.8462363466559,-27.4637922833176],[-58.8460433238139,-27.4637407127366],[-58.8457570423151,-27.4635550531039],[-58.8455570859914,-27.4633908027694],[-58.8454736388654,-27.4632385403609],[-58.8455018700364,-27.463111862659],[-58.8453594065302,-27.4630596208891],[-58.8452178445428,-27.4630614970954],[-58.8450551580846,-27.463009523021],[-58.8448541283463,-27.4630843603456],[-58.8445995367638,-27.4629794734029],[-58.844463431129,-27.4627016044172],[-58.8442284632488,-27.4625603700475],[-58.8440780926509,-27.4623368196672],[-58.8438409493679,-27.4620647989804]]]}"
5,326,384,710,259,323,16.21,44,"{""type"":""Polygon"",""coordinates"":[[[-58.8478207406003,-27.4644929978306],[-58.8478616675451,-27.4654307082301],[-58.8478745629019,-27.4655974379392],[-58.8479892840058,-27.4667146019624],[-58.8480543048852,-27.4672775929905],[-58.8481144211049,-27.4678496707003],[-58.8493972880226,-27.4677514391819],[-58.8494174152704,-27.4683511122574],[-58.8494362627261,-27.4688741181683],[-58.8507850186467,-27.4687840197598],[-58.8527896964101,-27.4686039851474],[-58.8536271873994,-27.469693477178],[-58.8544846176006,-27.4707646544959],[-58.8550693888405,-27.4706531139509],[-58.8549592024111,-27.4701132837704],[-58.8547487268844,-27.4696244087253],[-58.8545221824896,-27.4693838425603],[-58.8540980006495,-27.4691188434982],[-58.8540210256819,-27.4687499811922],[-58.8538857948169,-27.4685262409797],[-58.8537936543945,-27.4684598056415],[-58.8537500361575,-27.4682709318696],[-58.8536077134425,-27.4682277187395],[-58.8534026058477,-27.4680590382762],[-58.8533014860419,-27.4680603845026],[-58.8532936378904,-27.4681958137268],[-58.8531027172617,-27.4682705284853],[-58.8529302096571,-27.4682367381043],[-58.8526168150416,-27.4679431945962],[-58.8524299723004,-27.4676569880682],[-58.8523131598361,-27.4673247412073],[-58.8523088610079,-27.4670676812792],[-58.8523257664089,-27.4668689799631],[-58.8522619277214,-27.4666803746113],[-58.8519057505534,-27.4665497882256],[-58.8516211109404,-27.4664633577312],[-58.8514068023365,-27.4663489263756],[-58.8512579195443,-27.4662155813698],[-58.85112480776,-27.4661181131237],[-58.8509729797896,-27.4661111101691],[-58.8508501308883,-27.4660225268547],[-58.8508477948976,-27.4658827221916],[-58.850694761683,-27.4658035616649],[-58.8504827154362,-27.4658244236292],[-58.850382501525,-27.4658798855842],[-58.8502705184284,-27.4658362656155],[-58.8501301584871,-27.4659103042637],[-58.8498116366616,-27.4659145368394],[-58.8496998043405,-27.4658799360637],[-58.8496578510154,-27.4657902768293],[-58.8496555918571,-27.4656549818983],[-58.8495433080424,-27.4655933219923],[-58.8494310243493,-27.465531661989],[-58.8494062831567,-27.4652613407279],[-58.8493747432373,-27.4651895863821],[-58.8491216485523,-27.4651749048457],[-58.8489495983865,-27.4651681682159],[-58.8488471260957,-27.4650883340764],[-58.8484548140734,-27.4649131100145],[-58.848177659248,-27.4646686936286],[-58.8478207406003,-27.4644929978306]]]}"
6,390,460,850,306,377,6.04,141,"{""type"":""Polygon"",""coordinates"":[[[-58.8481144211049,-27.4678496707003],[-58.8474931352942,-27.4678940038392],[-58.8468163831713,-27.4679480917243],[-58.8455536591236,-27.4680415217192],[-58.8454588835592,-27.466906047295],[-58.8441913387267,-27.4670130609641],[-58.8442753136174,-27.4681080822464],[-58.8443575635223,-27.4690993768596],[-58.8456454312352,-27.4689966022444],[-58.8456579482475,-27.4691407830269],[-58.8469257406834,-27.4690472844058],[-58.8481736823598,-27.4689765920039],[-58.8481144211049,-27.4678496707003]]]}"
7,292,392,684,234,304,6.07,113,"{""type"":""Polygon"",""coordinates"":[[[-58.8441120466821,-27.4658954231898],[-58.8428743216465,-27.465970453608],[-58.8415716918907,-27.4660959509077],[-58.8416560896187,-27.4672180343191],[-58.842933677582,-27.4671063998024],[-58.8430008212009,-27.4681024066257],[-58.8431154975331,-27.4692195765802],[-58.8443575635223,-27.4690993768596],[-58.8442753136174,-27.4681080822464],[-58.8441913387267,-27.4670130609641],[-58.8441120466821,-27.4658954231898]]]}"
8,229,336,565,202,260,7.06,80,"{""type"":""Polygon"",""coordinates"":[[[-58.8415716918907,-27.4660959509077],[-58.840440435994,-27.4661875947756],[-58.8405147104407,-27.4673098131066],[-58.8405814578848,-27.4682832728709],[-58.8406814666246,-27.4694322155068],[-58.8418076241107,-27.4693361251466],[-58.8431154975331,-27.4692195765802],[-58.8430008212009,-27.4681024066257],[-58.842933677582,-27.4671063998024],[-58.8416560896187,-27.4672180343191],[-58.8415716918907,-27.4660959509077]]]}"
9,284,395,679,274,398,8.72,78,"{""type"":""Polygon"",""coordinates"":[[[-58.840440435994,-27.4661875947756],[-58.8390816599316,-27.4662822352395],[-58.8379556792814,-27.4663873218893],[-58.8380316591333,-27.4670043049616],[-58.8380802644517,-27.4674953456206],[-58.8381780755572,-27.4685135055934],[-58.8382562295481,-27.4692612741094],[-58.8382981345298,-27.4696531643483],[-58.8393180445441,-27.4695539861624],[-58.8406814666246,-27.4694322155068],[-58.8405814578848,-27.4682832728709],[-58.8405147104407,-27.4673098131066],[-58.840440435994,-27.4661875947756]]]}"
10,264,307,571,203,291,9.03,63,"{""type"":""Polygon"",""coordinates"":[[[-58.8379556792814,-27.4663873218893],[-58.836652438006,-27.4664766947431],[-58.8354606494823,-27.4665781186525],[-58.8355857333241,-27.4677177148612],[-58.8357140825896,-27.468749007234],[-58.8358391728553,-27.4698886026299],[-58.8369802855216,-27.4697788212899],[-58.8382981345298,-27.4696531643483],[-58.8382562295481,-27.4692612741094],[-58.8381780755572,-27.4685135055934],[-58.8380802644517,-27.4674953456206],[-58.8380316591333,-27.4670043049616],[-58.8379556792814,-27.4663873218893]]]}"
